slope,variance,confinement,zc,n_windows,project,lag_type
-0.000808840445391538,0.4311450474873518,0.24390243902439024,25,246,NGINX,1
0.006281068329104709,0.2922773545887166,0.2845528455284553,18,246,NGINX,2
0.003779149658267807,0.17614512633414764,0.44715447154471544,22,246,NGINX,3
0.002666179173799395,0.16833999021040633,0.44715447154471544,15,246,NGINX,4
0.002931493611175828,0.1977175203540871,0.34959349593495936,18,246,NGINX,6
-0.0025629046941531286,0.36065493517224856,0.2032520325203252,17,246,NGINX,aic
0.0011086051725678367,0.39010949465721056,0.2413793103448276,21,290,HTTPD_APACHE,1
0.00513363511706287,0.31798373467258173,0.2,16,290,HTTPD_APACHE,2
0.005416800775312549,0.2606731960303244,0.36551724137931035,20,290,HTTPD_APACHE,3
0.0058778459970528964,0.2581276068409094,0.2896551724137931,14,290,HTTPD_APACHE,4
0.008056885068204483,0.2804115241328955,0.32413793103448274,21,290,HTTPD_APACHE,6
0.004067683513277546,0.3664300328914585,0.2689655172413793,28,290,HTTPD_APACHE,aic
-0.00967498077063355,0.44412324730899866,0.15294117647058825,18,169,REDIS,1
-0.01638756556756929,0.3982616409346519,0.2,9,169,REDIS,2
-0.011072914419274322,0.29114151413680284,0.32941176470588235,10,169,REDIS,3
-0.005954476410326355,0.19667303011659062,0.36470588235294116,14,169,REDIS,4
-0.0037138807464980597,0.19412898055851516,0.3058823529411765,16,169,REDIS,6
-0.001919916341943344,0.43832653702931396,0.21176470588235294,14,169,REDIS,aic
-0.007957102497916405,0.2889174706057468,0.2733812949640288,30,278,SQLITE,1
-0.00779624820165594,0.44725465817757554,0.2158273381294964,16,278,SQLITE,2
-0.007469590258811973,0.32584940681377106,0.2733812949640288,20,278,SQLITE,3
-0.005368025114696694,0.2804699169624961,0.302158273381295,14,278,SQLITE,4
-0.001395274695423717,0.21175543187190174,0.37410071942446044,20,278,SQLITE,6
-0.004715463156039802,0.3684187936918326,0.3669064748201439,32,278,SQLITE,aic
-0.007236189604548869,0.6332723518568203,0.11038961038961038,9,307,GCC,1
-0.0008162797992480629,0.45144432110550803,0.19480519480519481,16,307,GCC,2
0.000706485963005376,0.42968104376425653,0.12987012987012986,14,307,GCC,3
-0.005734275988387156,0.4639998504523765,0.14285714285714285,12,307,GCC,4
-0.002889541268637263,0.2763939377471597,0.2987012987012987,13,307,GCC,6
-0.0033764868969187447,0.4890464809987207,0.16233766233766234,22,307,GCC,aic
0.0014638314007651377,0.44115835286485683,0.08074534161490683,19,322,POSTGRES,1
-0.001987226425931736,0.27681528311746173,0.2422360248447205,17,322,POSTGRES,2
-0.0013549178129168371,0.23248617790092313,0.39751552795031053,21,322,POSTGRES,3
-0.0005877504190408389,0.1367486344152634,0.42857142857142855,27,322,POSTGRES,4
0.0012325578266916817,0.106916217689629,0.453416149068323,22,322,POSTGRES,6
0.001467081319209701,0.18051341185886904,0.2360248447204969,25,322,POSTGRES,aic
0.007030206208241473,0.4325120788995767,0.2727272727272727,10,154,RUST,1
-0.009081742142097247,0.3017563745663262,0.19480519480519481,4,154,RUST,2
-0.008600195864607066,0.23304462269915194,0.2727272727272727,5,154,RUST,3
-0.012119707949304151,0.15647301616995118,0.5974025974025974,14,154,RUST,4
-0.010589108504709899,0.11841216790966529,0.5714285714285714,7,154,RUST,6
-0.008912629487906772,0.2777928865968279,0.36363636363636365,9,154,RUST,aic
0.01320244108889778,0.2888875008376198,0.2826086956521739,5,92,TENSORFLOW,1
-0.00503500753808349,0.2667732285282268,0.2608695652173913,6,92,TENSORFLOW,2
-0.012914685614346581,0.23112789698954805,0.34782608695652173,7,92,TENSORFLOW,3
0.00035964656102687776,0.2531802662277122,0.30434782608695654,8,92,TENSORFLOW,4
-0.016143249369425836,0.14253730747168405,0.34782608695652173,7,92,TENSORFLOW,6
0.004144575261456743,0.2520505637126505,0.32608695652173914,7,92,TENSORFLOW,aic
0.004714871256831031,0.2264817386487117,0.3448275862068966,18,289,PHP,1
0.0023015103464017945,0.08576939514152443,0.5724137931034483,27,289,PHP,2
0.007004991388453433,0.17775757268380354,0.46206896551724136,13,289,PHP,3
0.0063663630383795035,0.179218597721427,0.503448275862069,29,289,PHP,4
0.007468137525942765,0.2547852764150185,0.3103448275862069,21,289,PHP,6
0.0053525675499455075,0.21999739488955883,0.38620689655172413,25,289,PHP,aic
0.005469465326008164,0.4778321505900178,0.1791044776119403,11,134,PYTORCH,1
-0.0005269648179473641,0.3015879538030538,0.34328358208955223,16,134,PYTORCH,2
0.016411728339188112,0.3089443175264779,0.23880597014925373,6,134,PYTORCH,3
0.010173500680338591,0.18985719273271354,0.5223880597014925,11,134,PYTORCH,4
0.006878915315358977,0.15335215660940588,0.5074626865671642,16,134,PYTORCH,6
0.0067265774371930995,0.4715878651214764,0.16417910447761194,11,134,PYTORCH,aic
0.012175758359937013,0.43459443608418763,0.18604651162790697,16,172,NODE,1
0.007604239818304162,0.33256509522349587,0.26744186046511625,11,172,NODE,2
0.016735063594491097,0.3718804581622672,0.313953488372093,13,172,NODE,3
0.014407032114578059,0.29819825922427595,0.3953488372093023,9,172,NODE,4
0.010537451145890817,0.22118540536319237,0.43023255813953487,11,172,NODE,6
0.012000539809358609,0.4382828748977527,0.19767441860465115,13,172,NODE,aic
0.0019726431065281405,0.3414553531926434,0.1836734693877551,18,391,CPYTHON,1
0.0038427295905027613,0.3376230764584011,0.2653061224489796,22,391,CPYTHON,2
0.0032910929290155496,0.2234094670062588,0.46938775510204084,41,391,CPYTHON,3
