confinement,variance,slope,zc,mean_excursion,mean_strength,signal_rate,confinement_signal,n_windows,project,type,rep
0.7456896551724138,0.08120379925934838,0.001274976045611872,29,3.6875,0.856561332710417,0.9396551724137931,0.7339449541284404,246,NGINX,Observed,
0.6853448275862069,0.08394686115331981,-0.000959674318386298,34,2.3548387096774195,0.8026105195788226,0.9224137931034483,0.6682242990654206,246,NGINX,GammaShift(-6m),
0.7887931034482759,0.05263288960454273,0.0001722840660972967,38,2.0416666666666665,0.8282663827367629,0.8879310344827587,0.7621359223300971,246,NGINX,GammaShift(6m),
0.5474137931034483,0.13647716475979274,-0.000396572322875067,31,5.25,0.8104690695273397,0.9525862068965517,0.5339366515837104,246,NGINX,GammaShuffleValues,0.0
0.6637931034482759,0.09435636588361722,-0.0002799338214050723,41,3.391304347826087,0.8372822082355841,0.9568965517241379,0.6486486486486487,246,NGINX,GammaShuffleValues,1.0
0.7155172413793104,0.06948528396844053,0.0013335966942396092,35,2.357142857142857,0.7966544318056117,0.9568965517241379,0.7072072072072072,246,NGINX,GammaShuffleValues,2.0
0.7629310344827587,0.06538287483705141,0.0002572149430399194,28,2.2,0.8292454547533139,0.9353448275862069,0.7511520737327189,246,NGINX,GammaShuffleValues,3.0
0.6379310344827587,0.10000866865558625,0.0017700579062623664,32,4.2,0.8164329306381265,0.8836206896551724,0.6,246,NGINX,GammaShuffleValues,4.0
0.8103448275862069,0.05874810529908434,0.0006983758430240645,25,3.6666666666666665,0.8949108464284281,0.9525862068965517,0.8009049773755657,246,NGINX,GammaShuffleValues,5.0
0.646551724137931,0.07323458925159722,0.00038282711280919766,29,5.466666666666667,0.817742116217148,0.9008620689655172,0.631578947368421,246,NGINX,GammaShuffleValues,6.0
0.6293103448275862,0.10832710118713543,0.00011426462071701257,23,5.733333333333333,0.8790961152674653,0.978448275862069,0.6211453744493393,246,NGINX,GammaShuffleValues,7.0
0.7629310344827587,0.05836513800853996,0.0003592154814483771,42,3.235294117647059,0.8078154964320727,0.9655172413793104,0.7544642857142857,246,NGINX,GammaShuffleValues,8.0
0.5560344827586207,0.1189577492448409,0.0001262572833163724,30,4.291666666666667,0.8133615527219935,0.9396551724137931,0.536697247706422,246,NGINX,GammaShuffleValues,9.0
0.6982758620689655,0.09561127912470055,-0.0005660573651887703,34,3.888888888888889,0.8503281805625929,0.9698275862068966,0.6888888888888889,246,NGINX,GammaShuffleValues,10.0
0.5862068965517241,0.12159111841656979,0.0006069503882449849,32,5.052631578947368,0.8628178482430552,0.9913793103448276,0.5826086956521739,246,NGINX,GammaShuffleValues,11.0
0.6724137931034483,0.08769855278629125,-0.001239089782975989,21,3.619047619047619,0.8755375037893799,0.978448275862069,0.6696035242290749,246,NGINX,GammaShuffleValues,12.0
0.7801724137931034,0.07809639471641225,-0.0002939896434392337,39,3.642857142857143,0.8806589683069667,0.9612068965517241,0.7713004484304933,246,NGINX,GammaShuffleValues,13.0
0.5775862068965517,0.09525251651451119,-3.5703554346067666e-05,21,4.260869565217392,0.7795331727109459,0.9051724137931034,0.5428571428571428,246,NGINX,GammaShuffleValues,14.0
0.6422413793103449,0.08042370152576514,0.00030469014732539145,34,4.15,0.8047719348168556,0.9224137931034483,0.616822429906542,246,NGINX,GammaShuffleValues,15.0
0.7370689655172413,0.07785901183926992,-0.0007498323857226311,22,2.772727272727273,0.8774959471063395,0.9396551724137931,0.7201834862385321,246,NGINX,GammaShuffleValues,16.0
0.7112068965517241,0.06726518433131308,0.0006007754393507805,35,3.35,0.8604929450052683,0.9870689655172413,0.7117903930131004,246,NGINX,GammaShuffleValues,17.0
0.6982758620689655,0.06824683772957023,0.00021382837899516872,35,3.6842105263157894,0.827027047569532,0.9353448275862069,0.6820276497695853,246,NGINX,GammaShuffleValues,18.0
0.7456896551724138,0.06372278881327179,0.0005971705808714633,39,2.8095238095238093,0.7772896279414234,0.8275862068965517,0.7083333333333334,246,NGINX,GammaShuffleValues,19.0
0.6594827586206896,0.10583194365632459,0.0013551665837872385,38,3.95,0.8666025293935244,1.0,0.6594827586206896,246,NGINX,GammaCircular(-12m),
0.6853448275862069,0.0840639506124573,-0.0010668555451641955,34,2.433333333333333,0.8058150859530899,0.9224137931034483,0.6682242990654206,246,NGINX,GammaCircular(-6m),
0.7025862068965517,0.0805632791158316,0.0014928295976084078,28,3.2857142857142856,0.8584710749189313,0.9525862068965517,0.7149321266968326,246,NGINX,GammaCircular(-3m),
0.7931034482758621,0.06336599002004574,-0.00017483811344135822,33,3.4285714285714284,0.8572631838218718,0.9224137931034483,0.7850467289719626,246,NGINX,GammaCircular(3m),
0.7931034482758621,0.052157171670329516,0.00013131529955262631,38,2.0869565217391304,0.8290307374330216,0.8879310344827587,0.7669902912621359,246,NGINX,GammaCircular(6m),
0.6422413793103449,0.1277095477481812,-0.0007164937803024757,23,3.608695652173913,0.8675528939871392,0.9439655172413793,0.6255707762557078,246,NGINX,GammaCircular(12m),
0.771551724137931,0.06215265640620332,-0.0010253052374100927,47,2.5238095238095237,0.84669082465866,0.978448275862069,0.7709251101321586,246,NGINX,GammaCircularRand,0.0
0.853448275862069,0.051277847102104424,-5.253989249737714e-05,32,2.2666666666666666,0.8968808943794859,0.9568965517241379,0.8468468468468469,246,NGINX,GammaCircularRand,1.0
0.6293103448275862,0.0953282677406075,0.0006947267565995762,29,2.6875,0.8295704971475634,0.9267241379310345,0.6093023255813953,246,NGINX,GammaCircularRand,2.0
