project,raw_conf,cond_conf
NGINX,0.2845528455284553,0.2764227642276423
HTTPD_APACHE,0.2,0.22758620689655173
REDIS,0.2,0.27058823529411763
SQLITE,0.2158273381294964,0.20863309352517986
GCC,0.19480519480519481,0.07792207792207792
POSTGRES,0.2422360248447205,0.2422360248447205
RUST,0.19480519480519481,0.35064935064935066
TENSORFLOW,0.2608695652173913,0.21739130434782608
PHP,0.5724137931034483,0.2896551724137931
PYTORCH,0.34328358208955223,0.3582089552238806
NODE,0.26744186046511625,0.4069767441860465
CPYTHON,0.2653061224489796,0.23979591836734693
SCIPY,0.2537313432835821,0.35074626865671643
REACT,0.5081967213114754,0.26229508196721313
VUE,0.17857142857142858,0.4642857142857143
RAILS,0.23423423423423423,0.2972972972972973
ANGULAR,0.3018867924528302,0.20754716981132076
OCTAVE,0.192090395480226,0.2711864406779661
DJANGO,0.3644859813084112,0.18691588785046728
VSCODE,0.0,0.06521739130434782
GIT_SCM,0.4074074074074074,0.18518518518518517
FFMPEG,0.25757575757575757,0.1893939393939394
BITCOIN,0.21951219512195122,0.3902439024390244
WIRESHARK,0.2635135135135135,0.32432432432432434
EMACS,0.24170616113744076,0.22748815165876776
CURL,0.524822695035461,0.475177304964539
GIMP,0.24675324675324675,0.18831168831168832
WORDPRESS,0.3,0.225
MEDIAWIKI,0.4380165289256198,0.33884297520661155
MATPLOTLIB,0.2184873949579832,0.37815126050420167
FASTAPI,0.25,0.4583333333333333
SUBVERSION,0.40145985401459855,0.17518248175182483
ANSIBLE,0.07246376811594203,0.18840579710144928
OPENCV,0.26582278481012656,0.27848101265822783
PANDAS,0.27380952380952384,0.27380952380952384
SCIKIT_LEARN,0.07407407407407407,0.30864197530864196
KUBERNETES,0.2777777777777778,0.35185185185185186
FLASK,0.5352112676056338,0.30985915492957744
LIBREOFFICE,0.29927007299270075,0.23357664233576642
FREEBSD,0.1787709497206704,0.4245810055865922
WEBKIT,0.25384615384615383,0.16923076923076924
LLVM,0.2900763358778626,0.16793893129770993
LINUX,0.30275229357798167,0.48623853211009177
