project,mature_months,pct_in_band,oscillations,slope,mean_amplitude,volatility,max_excursion
NGINX,123,76.42276422764228,16,0.0016202174707579896,0.2121690269538525,0.24710575632736756,0.7995942264611416
HTTPD_APACHE,145,77.24137931034483,22,0.0013257428771443025,0.17804770035844739,0.2365327601012128,0.6307277237528027
REDIS,85,78.82352941176471,10,-0.003403247415634547,0.17488415953269631,0.2458830419312453,0.834391406682088
SQLITE,139,53.23741007194245,14,-0.0019181624182461855,0.2910844435660562,0.34776872768418304,0.7846005225708468
GCC,154,51.298701298701296,14,-0.004248192267714464,0.31252282805909,0.383038748663835,0.7517410145485697
POSTGRES,161,81.98757763975155,21,-0.0006342389057801765,0.16778063414510652,0.19953573866998922,0.6767115630767156
RUST,77,84.4155844155844,12,0.00034719053507621087,0.16735772069380317,0.2408091634572996,0.8563941907447263
TENSORFLOW,46,60.86956521739131,5,-0.007810354034745357,0.2895049325918569,0.3880499920991974,0.7910106076858271
PHP,145,65.51724137931035,18,0.0009647855541626621,0.22521673956415555,0.2880357582094282,0.8630559791239487
PYTORCH,67,82.08955223880598,13,0.0047536023165696785,0.1558633832763573,0.22327071097243947,0.6458112382189959
NODE,86,77.90697674418605,15,0.004923666517426119,0.18296198535543456,0.2475437320395549,0.6891765805202629
CPYTHON,196,62.755102040816325,19,0.0007771339051441403,0.2564553417819634,0.31139422538717326,0.8378463314827703
SCIPY,134,73.13432835820896,15,-0.0006449961383801906,0.21888293891666857,0.2952497321031922,0.8488285191047457
REACT,61,73.77049180327869,11,0.008364608335237562,0.18479852225810808,0.2607296650664373,0.6832041430671473
VUE,28,89.28571428571429,2,0.009952740604633956,0.14835030262433382,0.14993213757010845,0.48351603756459105
RAILS,111,82.88288288288288,17,0.0019354734460211344,0.18685784861678653,0.2602531122274221,0.8790193805165611
ANGULAR,53,81.13207547169812,7,0.004524175189275692,0.17586168547801664,0.22616160167006108,0.6594207388594481
OCTAVE,177,58.19209039548022,30,-0.0009587924687938662,0.2712184238753909,0.3418815548701339,0.76441894751495
DJANGO,107,85.98130841121495,12,-0.0009857684864485968,0.14215999612845093,0.18483067205998527,0.6942988456250968
VSCODE,46,67.3913043478261,3,0.0015184211275946111,0.20560922330976825,0.24749056944827608,0.7839759504404533
GIT_SCM,108,85.18518518518519,17,-0.001368884209877103,0.1671976813290087,0.20970482595010417,0.6312076330383112
FFMPEG,132,55.3030303030303,16,0.000650328441131724,0.29202853992960137,0.3460886885008516,0.7572532392917654
BITCOIN,82,79.26829268292683,14,-0.0027770044506433595,0.17781850362830667,0.2366167131067274,0.7227421390722042
WIRESHARK,148,64.86486486486487,21,-0.0011553896456999026,0.237781603546196,0.3015954049354172,0.6978169081579734
EMACS,211,67.29857819905213,26,0.00013894292037036285,0.250226190666087,0.3009700243966028,0.7809683107388518
CURL,141,75.177304964539,19,-0.003812001794690413,0.20520669178748457,0.24439293688567054,0.683365616642725
GIMP,154,72.07792207792207,26,-0.0006026092828995342,0.19415073353124204,0.24417571353727224,0.5413616508869803
WORDPRESS,120,67.5,10,-0.005635821694542004,0.2462043864800575,0.29197548338148493,0.7443508210007029
MEDIAWIKI,121,68.59504132231406,17,-0.00028672092711132697,0.23305572329362836,0.29719124063547125,0.6937524776038102
MATPLOTLIB,119,66.38655462184873,13,0.0016673393016894901,0.2291751099628105,0.28462575662281225,0.7236171250702167
FASTAPI,24,20.833333333333336,1,-0.06715955720448888,0.4705356412246926,0.4824809671886403,0.9713075492927922
SUBVERSION,137,72.26277372262774,12,-0.0019514281359677673,0.19953234592985147,0.26484491482616207,0.6624043061325059
ANSIBLE,69,62.31884057971014,8,0.0066532978586922795,0.21411523788080428,0.3024236100768116,0.7652917766005836
OPENCV,79,55.69620253164557,11,-0.0040356974391699,0.2825838775545241,0.24802742133007455,0.7562096112412078
PANDAS,84,51.19047619047619,10,0.0025883223388674112,0.29447195081500355,0.3345694829638163,0.9075501062632362
SCIKIT_LEARN,81,74.07407407407408,13,0.005646654195273203,0.18621243850306793,0.2501724320901034,0.722142053819516
KUBERNETES,54,90.74074074074075,10,0.002587424216460277,0.13875748169048496,0.1563273715342633,0.5411817122552337
FLASK,71,60.56338028169014,12,-0.005914333845317153,0.24419531591363924,0.2885259913623803,0.5681350349168557
LIBREOFFICE,137,78.83211678832117,20,-0.001102772113079776,0.18776164025209027,0.2483539960139387,0.654002059031961
FREEBSD,179,57.54189944134078,29,0.0011392279994758062,0.27623851333745303,0.3449076025931535,0.8547105840020669
WEBKIT,130,79.23076923076923,18,0.0008449270280223382,0.1746413026288368,0.23481763897350005,0.690602058867727
LLVM,131,49.61832061068702,24,-0.0003994367404622216,0.30618469411090904,0.3463711203835463,0.7713588381715607
LINUX,109,64.22018348623854,14,0.0025168685829806414,0.23110473846627128,0.28761795027616466,0.7114877733895694
