threshold,var_ratio,sym_gain,sym_high
0.5088158255431722,0.9967684237531921,0.03281644667243533,0.7294798319678213
0.5288158255431722,1.1378307586629863,0.03299914158985495,0.7301666865484566
0.5488158255431722,1.3060355681497942,0.03299253187880269,0.7308252590787532
0.5688158255431722,1.5073193095057922,0.030061171127050645,0.7304817612668645
0.5888158255431722,1.753945221891458,0.02570276446038855,0.7295144887392759
0.6088158255431723,2.046585239806963,0.02325080987716166,0.7291154191538368
0.6288158255431723,2.4075219012783267,0.022201250424973673,0.7292122126338824
0.6488158255431723,2.8404854562952795,0.01839521880594397,0.7280392327911299
0.6688158255431723,3.3517711270524577,0.01668990965446515,0.7276587089135913
0.6888158255431723,3.9170854604005543,0.015434644979369527,0.7273937264628036
