threshold,mean_early,mean_mature,delta,ci_low,ci_high,p_value,cohens_d,n_projects,validated
6,0.6806003676439224,0.8256776644991721,0.14507729685524973,0.12487699599544146,0.1666534652192551,0.0,1.8028582497910828,43,True
12,0.5693861344111274,0.7703520067927759,0.20096587238164854,0.1753947875282504,0.22736909398554375,0.0,1.9584540678660487,43,True
24,0.4190678878603515,0.6800817220872881,0.26101383422693664,0.2292600187593763,0.29461613210486765,0.0,2.0072879461657664,43,True
