,gamma,symmetry_smooth
0,0.0,0.6501633845157647
1,0.0,0.6501633845157647
2,0.0,0.6501633845157647
3,0.0,0.6501633845157647
4,0.0,0.6501633845157647
5,0.0,0.6501633845157647
6,0.0,0.6501633845157647
7,0.0,0.6501633845157647
8,0.0,0.6501633845157647
9,0.0,0.6501633845157647
10,0.0,0.6501633845157647
11,8.042152697072871e-05,0.6501839474244433
12,9.511156176525167e-05,0.6501877033073572
13,9.845266226646579e-05,0.6501885575365237
14,0.00016247750359953022,0.6502049263448649
15,0.0006583779405388583,0.6503316703335519
16,0.000924569472381169,0.6503996755333713
17,0.0009870795220510951,0.6504156423300353
18,0.0010518576834213755,0.6504321872849339
19,0.0010843125611727329,0.6504404761157828
20,0.0016588548816122508,0.6505871616863033
21,0.0021055963490001018,0.6507011531469853
22,0.0021793471069074064,0.6507199660263294
23,0.002263006229597727,0.6507413045105807
24,0.0024502026928676923,0.6507890444193645
25,0.0030476354785606116,0.6509413376893695
26,0.0033123671744429285,0.6510087883276149
27,0.003469883698653124,0.6510489121712301
28,0.00373211228857606,0.6511156932277116
29,0.004184725725930349,0.6512309124359422
30,0.004242564903508784,0.6512456319662387
31,0.0043289597026506975,0.651267616838239
32,0.004703281005765188,0.651362845453777
33,0.004904008942156633,0.6514138946791741
34,0.004904446508600891,0.6514140059485863
35,0.004938517483888389,0.6514226697376501
36,0.005529745709086524,0.6515729578143177
37,0.005531560536011321,0.6515734189817107
38,0.005901945029894101,0.6516675178918221
39,0.006345485296493738,0.6517801506233077
40,0.006627593843344118,0.6518517599061474
41,0.006777235287967805,0.6518897349953846
42,0.006956441337558178,0.651935204344216
43,0.007340922052569578,0.6520327262346683
44,0.007642528075796288,0.6521091976374658
45,0.00784195576519887,0.6521597476817652
46,0.008187650388907387,0.6522473458494724
47,0.008756766700851758,0.652391484115506
48,0.00934117747210899,0.6525393998128746
49,0.009751618155176028,0.6526432251774306
50,0.010486187799959327,0.6528289230666606
51,0.010507619416929381,0.6528343386457162
52,0.010868570690006879,0.6529255283025747
53,0.011016714121691262,0.6529629441598691
54,0.011460910346194935,0.6530750954789484
55,0.011627416586630246,0.6531171208859324
56,0.012083135011674405,0.6532321022079723
57,0.012210079027096482,0.6532641207796023
58,0.012697218486937435,0.6533869480087946
59,0.01299130636300543,0.6534610670683758
60,0.01300155471333386,0.6534636495268648
61,0.014155573251534102,0.6537542604246862
62,0.014290075800273349,0.6537881073979155
63,0.014333740838839914,0.6537990944302727
64,0.014647814862041178,0.6538781063742202
65,0.015395245423611453,0.6540660282224081
66,0.015553653824948561,0.6541058360037124
67,0.015560935222504124,0.6541076656406911
68,0.01572900412164839,0.6541498931711107
69,0.015746144867528726,0.6541541993676165
70,0.015949562810026584,0.6542052970002736
71,0.0160831815729659,0.654238855197177
72,0.01631829827934638,0.6542978925437511
73,0.016460345937888865,0.6543335530625287
74,0.016672935845908406,0.6543869125812413
75,0.016851845502674764,0.6544318088293936
76,0.016900223924863907,0.6544439475809664
77,0.016980313039173446,0.6544640415320151
78,0.017355699311953167,0.6545582006259686
79,0.017715372084761608,0.6546483821128446
80,0.018236927198753666,0.6547790899711665
81,0.018572678849567967,0.6548631940976298
82,0.018786316687279887,0.6549166933697603
83,0.01924199914724617,0.6550307641963631
84,0.01930852876880182,0.6550474138291856
85,0.019403538502198517,0.6550711887897878
86,0.019482187436707828,0.6550908678260677
87,0.019562924715440903,0.655111067656899
88,0.019967661184156067,0.6552123030288938
89,0.020187750379992965,0.655267334675568
90,0.020575141023837475,0.6553641671528151
91,0.02066059864555515,0.6553855227844134
92,0.020664068977852387,0.6553863899698044
93,0.02073322727058815,0.6554036709446248
94,0.020911885815372497,0.6554483074373342
95,0.02147504278679303,0.655588952102458
96,0.021631764368404145,0.6556280772043656
97,0.0218960965086631,0.6556940521522743
98,0.02198903727168513,0.6557172449191668
99,0.0220360685223394,0.6557289803882081
100,0.022523643797132172,0.6558506079402451
101,0.02286952400825518,0.6559368508782797
102,0.02304513220549883,0.6559806254981883
103,0.023249486955314,0.656031555634934
104,0.023258379851431945,0.6560337717088994
105,0.023516956260626394,0.6560981987860698
106,0.023721291274228395,0.6561490985722535
107,0.02382227586287454,0.6561742497419181
108,0.023965841462177114,0.6562100014989922
109,0.02407068040815776,0.65623610583894
110,0.024311279585592954,0.6562960028448755
111,0.02443812618353817,0.6563275751100801
112,0.02467929701618486,0.6563875911885636
113,0.024734396912100554,0.6564013008261287
114,0.024996856431748378,0.6564665936006125
115,0.02510725742768812,0.6564940529892264
116,0.025673660543142116,0.6566348812135703
117,0.025947635340078684,0.6567029713327299
118,0.02637560890024264,0.6568092954125787
119,0.02728745160428326,0.6570356724430376
120,0.027623209564810854,0.6571189749331181
121,0.028117418974874044,0.6572415370889086
122,0.028203880392345036,0.6572629727846516
123,0.028249651275251888,0.6572743196242892
124,0.029601684803092047,0.6576092550534623
125,0.029782906829073117,0.6576541134127756
126,0.030007106030223173,0.6577095985360127
127,0.03073949723075003,0.6578907633417644
128,0.03088817570784246,0.6579275240639572
129,0.031232284350935568,0.6580125835533854
130,0.031468186658378625,0.6580708785838452
131,0.031692129175922054,0.6581262052701644
132,0.03183028945648545,0.6581603325489532
133,0.03189101839924943,0.6581753318303045
134,0.03189851303877308,0.6581771828476406
135,0.0320662065161339,0.6582185959167568
136,0.03246385051075367,0.6583167688012689
137,0.0324740027205103,0.6583192747271689
138,0.03277785767855267,0.6583942650342604
139,0.03364214585044274,0.6586074427228237
140,0.033685711587685706,0.6586181833571525
