project,n_points,r_fanin_granger,p_fanin_granger,r_norm_granger,p_norm_granger,r_fanin_authority,p_fanin_authority
REDIS,60,-0.03363073060816868,0.7986499427240082,-0.09900109755189301,0.45170281681962143,-0.03401984649950287,0.7963699161784075
NGINX,76,-0.1547310377603227,0.18200353411235096,-0.051635944396698094,0.6577751571100539,-0.1911173091710776,0.09816988874090622
SQLITE,96,0.10159731412903136,0.3246447269352273,0.09806056043382633,0.34185788451069643,0.11128293830796564,0.2804007679974554
HTTPD_APACHE,95,-0.13015845032313045,0.20868521218481748,-0.07815906962130449,0.4515290996441321,-0.07574714679767156,0.46565474764418835
PHP,99,-0.08252319109461967,0.4167608432011838,-0.1252442795299938,0.21675289772901163,-0.08733457019171303,0.3900228468668685
POSTGRES,110,0.1153313827460063,0.23021853647789906,0.07776300069878052,0.4193829878116615,0.12944687642819477,0.1777164568977573
CPYTHON,131,-0.021553348094378717,0.8069571100679696,-0.02292512168124365,0.7949336685507511,-0.008333925648092896,0.9247329682778848
NODE,60,-0.1348707974437344,0.30421713589404953,-0.1465962767435399,0.2636976692581348,-0.15732147818838568,0.22995888163731548
SCIPY,87,0.07534250960844398,0.4879515845748498,-0.06262302252679156,0.5644622221792176,0.052282942042214425,0.6305601715584286
OCTAVE,109,0.034451349138816596,0.7221090434599938,0.024402236477814927,0.8011437430226205,0.055223281472682316,0.5684494638017036
VUE,22,-0.12990681116725175,0.5644796417446394,-0.16996047430830044,0.449541664364542,-0.1801750989667535,0.4223419479626306
PYTORCH,45,-0.19934123847167326,0.18924600186731458,-0.13728590250329378,0.3684956738451579,-0.18814229249011857,0.21583857473452756
REACT,43,0.19027484143763213,0.2216502486797527,0.24916943521594687,0.10711537485583654,0.1781938991241317,0.252938165938978
TENSORFLOW,34,-0.40229182582123757,0.01834231338069732,-0.3671504965622613,0.03268014286081728,-0.36501145912910615,0.03378677694075316
DJANGO,74,0.05006559898523006,0.671847207997737,0.06265827471306921,0.5958678872656782,0.04169169033317116,0.7243185637824369
GCC,105,-0.015296932066792902,0.8769162182206136,-0.014461990623080456,0.8835858695602457,-0.049726692415026884,0.6144305457246559
METEOR,49,-0.24632653061224488,0.08797579445589528,-0.3060204081632653,0.0324811156190738,-0.26591836734693874,0.06477885408139886
RAILS,77,0.10142689076497269,0.3800922222887194,0.12947578737052423,0.2617374918125193,0.10514692836042205,0.36277221080471245
GIT_SCM,75,0.12894920270440757,0.2702065165676635,0.1330867709815078,0.25500403097622193,0.13685827680299012,0.2416634232711599
BITCOIN,58,0.08259251284259744,0.5376518883963519,0.10738564705158572,0.42235301921284985,0.12048971054169615,0.3676228219903376
EMACS,118,0.10980426003720939,0.23654564030404512,0.11070886874675126,0.23268269461801802,0.09288337516771154,0.3171190928947841
FFMPEG,91,0.016436065381210903,0.8771106131675575,0.047427934384456125,0.6552862020404545,0.033118990271538834,0.7553041775365972
ANGULAR,39,-0.12287449392712552,0.4561413548712656,-0.1431174089068826,0.38475114748966943,-0.11923076923076925,0.4697074025987683
CURL,97,-0.1274228411330584,0.21358145624499333,-0.19333841784136332,0.057772299506057126,-0.14872902915344902,0.1459680831449762
WORDPRESS,83,-0.24508965351106465,0.025536528791031476,-0.22996515679442509,0.03648977959702198,-0.25492346524145765,0.020028723728893142
WIRESHARK,103,-0.0639251854030476,0.5211922607779044,-0.007775776479374424,0.9378649795793892,-0.0646610306778529,0.5163975206877016
MATPLOTLIB,82,0.09927402950296682,0.37488595064294616,0.09704944439002625,0.3857346768532782,0.1027895992353929,0.3581232783488427
FASTAPI,18,-0.2670820333063794,0.28398953027880836,-0.3106295149638803,0.20962534083657886,-0.16356186535817038,0.5166578234667457
VSCODE,34,0.3423987776928953,0.047456136665233635,0.415431627196333,0.014552717859186418,0.2987012987012987,0.0861640916774366
SUBVERSION,82,-0.21153856672569368,0.05641627918891246,-0.24588995258263124,0.0259638210312324,-0.2317182684344375,0.0361989344768399
GIMP,105,0.1361356692966138,0.16613416795357963,0.13963300850093302,0.15541705457755817,0.13355416128847605,0.17438936925976634
SCIKIT_LEARN,57,0.05088481244890211,0.7069879587119319,0.054900181488203276,0.6850287195267533,0.006417320296103578,0.9622129314941208
FLASK,26,0.23183002441154693,0.25446187731387293,0.17437977089751522,0.3942189259127139,0.14285178415763988,0.48632637268647905
OPENCV,56,-0.036335048540450596,0.790345730088769,-0.01825017088174983,0.8937959549814143,-0.030284904051589116,0.8246480861048517
PANDAS,59,-0.11548801870251317,0.38374335370378343,-0.047749853886616025,0.7194970723332593,-0.10303915838690826,0.43739773922067693
ANSIBLE,49,-0.11524029450902451,0.43041042974894106,-0.07209367588253746,0.6225289843004485,-0.10487071127084542,0.4732968547846814
MEDIAWIKI,83,0.034402418034507366,0.7575047687370507,-0.003316401494479661,0.9762618754780894,0.0440997439234289,0.6922028516282209
LIBREOFFICE,94,0.18314527790018365,0.07724861569637818,0.17289120562669816,0.09563605395595977,0.20193719859468118,0.05096007281889939
RUST,55,-0.1254689754689755,0.36137705192144276,-0.18311688311688318,0.18083595103164504,-0.09826839826839828,0.4753699621978552
SNOWPACK,6,0.7714285714285715,0.07239650145772594,0.6,0.20799999999999982,0.7714285714285715,0.07239650145772594
GENERIC_TOOLS,8,-0.4285714285714286,0.2894032248467901,-0.6190476190476191,0.1017330374542646,-0.09523809523809526,0.8225054302036114
KUBERNETES,40,0.021763602251407135,0.8939592566534622,-0.0009380863039399625,0.9954163073313964,-0.021763602251407135,0.8939592566534622
FREEBSD,123,-0.052959461376739625,0.5607281888128947,-0.014639305568095343,0.872322904761436,-0.024732042666804246,0.7859814895252104
LLVM,91,-0.18365981844242713,0.08139658269627728,-0.15007166746297182,0.1556492853304448,-0.22092689918776875,0.035338967741495524
WEBKIT,90,0.12496192945631147,0.24058410254154045,0.11518294439642754,0.279675058472072,0.12716796312301928,0.2323162207924067
LINUX,76,-0.03267259056732741,0.779333857801664,-0.05353383458646617,0.6460244548984062,-0.07371155160628845,0.5268550167226144
